Time (ms),Voltage (V)
16638.0,21.89
16652.0,48.27
16666.0,0.05
16679.0,-72.07
16693.0,-121.76
16706.0,-186.69
16719.0,-331.04
16733.0,-441.33
16746.0,-387.53
16759.0,-276.46
16773.0,-237.0
16786.0,-226.21
16799.0,-185.13
16813.0,-137.07
16826.0,-106.67
16839.0,-81.46
16852.0,-51.64
16866.0,-23.46
16879.0,0.39
16892.0,22.79
16906.0,50.07
16919.0,134.51
16932.0,355.97
16946.0,635.77
16959.0,754.88
16972.0,680.71
16986.0,567.63
16999.0,475.83
17012.0,399.6
17026.0,366.41
17039.0,357.69
17052.0,342.83
17065.0,334.15
17079.0,299.35
17092.0,210.16
17105.0,147.71
17119.0,140.57
17132.0,87.6
17145.0,-11.49
17159.0,-37.33
17172.0,7.97
17185.0,9.3
17199.0,-40.55
17212.0,-66.16
17225.0,-76.53
17239.0,-114.5
17252.0,-151.04
17265.0,-140.5
17278.0,-120.4
17292.0,-146.35
17305.0,-185.59
17319.0,-193.64
17333.0,-180.44
17346.0,-170.02
17359.0,-171.83
17373.0,-168.92
17386.0,-134.8
17399.0,-103.2
17413.0,-143.51
17426.0,-197.67
17439.0,-166.79
17453.0,-116.6
17466.0,-116.0
17479.0,-118.21
17492.0,-115.1
17506.0,-129.61
17519.0,-124.3
17532.0,-89.97
17546.0,-88.46
17559.0,-116.11
17572.0,-105.74
17586.0,-66.67
17599.0,-54.68
17612.0,-64.57
17626.0,-54.3
17639.0,-37.89
17652.0,-46.54
17666.0,-53.91
17679.0,-63.59
17692.0,-111.11
17705.0,-164.78
17719.0,-165.88
17732.0,-94.2
17745.0,-5.53
17759.0,29.4
17772.0,34.95
17785.0,15.72
17799.0,-74.12
17812.0,-160.22
17825.0,-142.06
17839.0,-60.02
17852.0,4.14
17865.0,31.14
17879.0,30.38
17892.0,33.84
17905.0,77.79
17918.0,103.1
17932.0,42.96
17945.0,-23.67
17958.0,-14.96
17973.0,47.54
17986.0,113.07
17999.0,125.83
18013.0,87.17
18026.0,56.29
18039.0,47.36
18053.0,61.89
18066.0,90.37
18079.0,56.58
